Метод Нюстрема 3-го порядка
Время выполнения: 130.622173571 сек.
t = 0.0 ; t_end = 10.0 ; h = 1.0e-4
error_value = 1.0e-4
error = 9.96299895188648e-5 ; last_step = 169357

(20><20)
 [     3.1408129331157846,   -0.36422392450171825,     0.7825619177259143,    0.17459955038201638,   9.147798102982951e-2,     1.0191208317406235,    -0.7624401970465656,      1.409526418656414,    -0.3676008413540164, -1.2744800443963178e-2,      0.712592961597349,   8.862933048285578e-2,  -0.11744442154876775,  2.1182141820578178e-4,   7.787889215840149e-2,   -0.22183771595648635,   7.847963828614123e-2,    -0.2322231154574956,   4.971524198006566e-2, -0.21982235844664685
 ,   -0.36422392450171825,      5.108649450642721,     0.9819510260484209,     0.7749151282619623,     0.8975634547534838,     1.0368476009585437,     1.9332442862607024,    0.48026518072023666,     1.5500431788741131,  -1.665538798046082e-2,    0.26825638582921724,    0.15564545021270362, -4.046584666406329e-2, -1.4046198270205576e-2,   4.633761627639391e-2,  5.0829577487672174e-2,  -1.741178775456025e-2, -2.4375637695462162e-2,   -4.35391885867615e-2,   -0.284294168879777
 ,     0.7825619177259143,     0.9819510260484209,      5.353725505354873,      2.841048214346634,     2.0647960183863225,  4.4156066468199744e-2,     0.9200319992169465,      2.623792521980986,     1.1322795914691113, -2.7561648068806413e-2,    0.13018793331805034,  -8.276708742940425e-2,    0.5111202120663242,   -0.22097021108863296,   -0.23041154135460373,      0.335701044139541,   9.754439381716981e-3,    -0.1650222234800034,  -1.434265816344313e-2, -0.47348990174117883
 ,    0.17459955038201638,     0.7749151282619623,      2.841048214346634,      4.890698453970098,      1.537770095054095,    -0.2879398314167249,      1.294182155411403,     1.3419408018112873,     0.7043103439393416,  -1.942788200333832e-2,    0.19292706272194807, -3.0590516558211584e-3,   -0.1473505455774796,    0.20450423791881703,  4.7254666577930246e-2,    0.18111974961631147,  -4.295094296199208e-2,   4.015110744019764e-2, -2.5904658842411655e-2,  -0.3435530171667133
 ,   9.147798102982951e-2,     0.8975634547534838,     2.0647960183863225,      1.537770095054095,      3.418604818103526,    0.15143881748783825,     1.3005744285918173,     1.0847516493919898,     1.4687709644533031,  -1.978519832614819e-2,     0.1870247150169436,  -7.365513393345631e-3,  -0.26938001305727954, -1.9244470688250026e-2,     0.5099120500598945,    0.12118914105758409,  5.3870019187595805e-2,    0.12485138139435106,   -0.19429953398111818, -0.41032881420671363
 ,     1.0191208317406235,     1.0368476009585437,  4.4156066468199744e-2,    -0.2879398314167249,    0.15143881748783825,      3.680314627298695,    0.48895441163274955,     0.5388094769612268,     0.5656881714423465, -1.7139717361979317e-2,    -0.1975542375498612,   -0.15909680163912263,  7.100706242337121e-2, -2.5449006527248647e-2,  2.3852198868750236e-2,     0.4353488694520603,   6.584295712963381e-2, -1.4031998301861817e-2,    -0.1293381179532794, -0.23054351519927663
 ,    -0.7624401970465656,     1.9332442862607024,     0.9200319992169465,      1.294182155411403,     1.3005744285918173,    0.48895441163274955,      5.210564642548394,    0.13562195106236982,     2.9160803140823655, -2.1490853154970527e-2,    0.16814407990294758,  -5.932607764430967e-2, -6.840185274491907e-4,  -8.060699496997586e-2,   7.194068025500314e-2,    0.13231846241646078,     0.2944275625988533,    0.11463727794629268,   -0.21747150999480505,  -0.4593491553222928
 ,      1.409526418656414,    0.48026518072023666,      2.623792521980986,     1.3419408018112873,     1.0847516493919898,     0.5388094769612268,    0.13562195106236982,      5.245827562019677,      1.381672320447728,  -2.180572817999078e-2,  2.5016564890770854e-2, -6.1222806345006375e-2,  -0.18268150470199448,  -4.378890786814249e-2,    0.15021232316211103,    0.28863692743279856,    0.12112876579296801,     0.2962118439460589,    -0.2543413277800163,   -0.360368691313907
 ,    -0.3676008413540164,     1.5500431788741131,     1.1322795914691113,     0.7043103439393416,     1.4687709644533031,     0.5656881714423465,     2.9160803140823655,      1.381672320447728,      5.408445367692139, -1.9669703165591534e-2,      0.282983682040224,  1.6937847035231794e-4,   0.10475557043905884,   4.090983610704323e-3,  -9.687721450862895e-2,     0.1396636585362439,     -0.145525795784751,   -0.13281741343202424,     0.2341313007812169,  -0.3265466250290527
 , -1.2744800443963178e-2,  -1.665538798046082e-2, -2.7561648068806413e-2,  -1.942788200333832e-2,  -1.978519832614819e-2, -1.7139717361979317e-2, -2.1490853154970527e-2,  -2.180572817999078e-2, -1.9669703165591534e-2,    -1.4068623694575e-2, -1.9060736716451998e-4,  -2.042920624601432e-4,  -3.41011874365623e-4, -2.3502922602562648e-4,  -2.471583706541965e-4,  -2.518946125746622e-4,   -2.60524479474881e-4,  -2.771374868330654e-4, -2.3285171416227943e-4, 4.939556232318975e-2
 ,      0.712592961597349,    0.26825638582921724,    0.13018793331805034,    0.19292706272194807,     0.1870247150169436,    -0.1975542375498612,    0.16814407990294758,  2.5016564890770854e-2,      0.282983682040224, -1.9060736716451998e-4,     1.4086959307202926,   7.096849600994579e-2,  -0.10515062052861214,   8.160269221612476e-3,  -4.360763345090213e-3,     -0.296579239941176,  -5.749538919830027e-3,   -0.16223566450166954,   7.201432812469039e-2,   -0.552445414163554
 ,   8.862933048285578e-2,    0.15564545021270362,  -8.276708742940425e-2, -3.0590516558211584e-3,  -7.365513393345631e-3,   -0.15909680163912263,  -5.932607764430967e-2, -6.1222806345006375e-2,  1.6937847035231794e-4,  -2.042920624601432e-4,   7.096849600994579e-2,     1.0948100719568328,  -0.12515338289976494,  -6.039796241489911e-2, -5.2749865248477905e-2,   -0.10776229828097174,   -0.10228578074699216,  -9.234238081399497e-2,   -6.90626620583153e-2,    -0.22423164847505
 ,   -0.11744442154876775,  -4.046584666406329e-2,     0.5111202120663242,    -0.1473505455774796,   -0.26938001305727954,   7.100706242337121e-2,  -6.840185274491907e-4,   -0.18268150470199448,    0.10475557043905884,   -3.41011874365623e-4,   -0.10515062052861214,   -0.12515338289976494,    1.2407427148584909,   -0.23621083099377205,    -0.2969871885651205,   8.187818848712692e-3,    -0.1232736629670556,   -0.24423373338502277,  -5.784577505924908e-2,   -0.483846075898924
 ,  2.1182141820578178e-4, -1.4046198270205576e-2,   -0.22097021108863296,    0.20450423791881703, -1.9244470688250026e-2, -2.5449006527248647e-2,  -8.060699496997586e-2,  -4.378890786814249e-2,   4.090983610704323e-3, -2.3502922602562648e-4,   8.160269221612476e-3,  -6.039796241489911e-2,  -0.23621083099377205,     1.1193727639250093,  -7.315898260826703e-2, -1.0535243005649118e-2,    -0.1310326213498397,  -7.590096481515601e-2,  -6.270815293264993e-2,  -0.2535854496120087
 ,   7.787889215840149e-2,   4.633761627639391e-2,   -0.23041154135460373,  4.7254666577930246e-2,     0.5099120500598945,  2.3852198868750236e-2,   7.194068025500314e-2,    0.15021232316211103,  -9.687721450862895e-2,  -2.471583706541965e-4,  -4.360763345090213e-3, -5.2749865248477905e-2,   -0.2969871885651205,  -7.315898260826703e-2,     1.3011443268524145,   -6.22892162702474e-2,  -6.870583287150321e-2, -1.7494895926089776e-3,   -0.16904517223984986, -0.43984333410668763
 ,   -0.22183771595648635,  5.0829577487672174e-2,      0.335701044139541,    0.18111974961631147,    0.12118914105758409,     0.4353488694520603,    0.13231846241646078,    0.28863692743279856,     0.1396636585362439,  -2.518946125746622e-4,     -0.296579239941176,   -0.10776229828097174,  8.187818848712692e-3, -1.0535243005649118e-2,   -6.22892162702474e-2,     1.1630907504811439, -5.3887143466391944e-2, -1.0924966203207764e-2,  -4.959102777822279e-2,  -0.6395348531236803
